No.,用紙,参加地区,事業所・所属,Q2①内容の分かりやすさ,Q2②実践への活用,Q2③講師の説明,Q2④時間・進め方,Q2⑤配布資料,Q3 今後参加したい研修,Q4 研修で感じたこと,Q5 発達・行動面,Q5 保護者対応,Q5 関係機関連携,Q5 スタッフ間共有,Q5 人材育成,Q5 その他,Q5 具体的に困っているケース,備考
1,f_01,田川,放課後等デイサービス／児童発達支援事業所,5,5,5,5,5,参加したいです。,,,,,,,,,
2,f_02,無記入,学校教育,5,5,5,5,5,,自閉症で特性？と思っていたのが、愛着障害にあてはまり新たな知識が増え感謝,○,,,,,,,
3,r_01,直方,児童発達支援事業所,5,5,5,3,5,ワークショップ型の研修があったら参加したいです。,とても楽しい研修で、あっという間に終わってしまいました。もっと聞きたかったです。支援者である私達が楽しみながら支援していけるよう、つとめていきたいと思います。,○,○,○,○,○,,,
4,r_02,無記入,児童発達支援事業所,5,5,5,5,5,愛着についての障がいをまた受けたいです。実例なども気になります,愛着について学びました。安心できる大人が1人でも という言葉が印象に深かったです,,○,,,,,,
5,r_03,無記入,放課後等デイサービス,5,5,5,5,5,集団で出来るレクレーションを知りたいです。,日々の支援の中で専門性を持って子どもたちと関わることが大切だと感じました。,○,○,○,,,,,
6,r_04,無記入,放課後等デイサービス,5,5,5,5,5,自閉症の子との関わり方.,今の事業所で、あてはまる利用児がたくさんいたので、研修のヒントをたどりながら、支援していきたいと思いました。,○,,,,,,,
7,r_05,直方,その他（基幹相談支援センター）,5,5,5,5,5,,,,,○,,○,,,
8,r_06,田川,放課後等デイサービス,5,5,5,5,5,,現場でアタッチメント障害の話しをきいて、顔が思い浮かんだりしたので、対応策を身に付けたいなと思いました。,,,,,,,,
9,r_07,田川,放課後等デイサービス,5,5,5,5,4,,とてもわかりやすく良かったです。ありがとうございました。支援場面がかわっても基本は同じと実感しました。,,,,,,,,
10,r_08,田川,放課後等デイサービス／児童発達支援事業所,5,5,5,5,5,,愛着はわがままではない。アタッチメント障害の子ども達は困っている。そう思いながら子ども達と関わっていこうと思います。,○,○,,,,,,
11,r_09,（嘉麻市と記入）,保育所・認定こども園,5,5,5,5,5,,嘉麻市の保育所型認定こども園の園長をしていますが、今日は友人から誘われて参加致しました。園にもたくさんの発達障害(かも？)、愛着障害の子がいます。その子たちがすごしやすい園にするためには関わる大人の行動を変えなくてはいけない。でもどう関わったらいいのかがわからないので参考よかったです,,,,,,,,
12,r_10,田川,その他（記載なし）,4,5,4,3,3,,（記入後に塗りつぶし・判読不可）,,,,,,○,,
13,r_11,直方,放課後等デイサービス,5,5,5,5,5,,子ども達との関わりの中で、子どもからの攻撃的な言葉だったり、行動だったりに対し、感情的になってしまいそうになる場面があったなとふり返り、冷静に対応できるよう、今日の研修で学んだことを活かしたいと思いました。,○,○,,,,,,
14,r_12,直方,放課後等デイサービス,5,5,5,5,5,思春期の子ども、保護者対応について。,事業所で関わっている子どもが当てはまる行動をしているなーと研修を受けながら思いました。自分の子育てと日々の業務と活かしていきたいです。,,○,○,,,,（記入後に塗りつぶし・判読不可）,
15,r_13,直方,その他（相談支援事業所）,5,5,5,5,5,,何度聞いても坂口先生の講演は最高です。日々の支援を振りかえるよい機会となります。,,,,,○,,,
16,r_14,直方,放課後等デイサービス,5,5,5,5,5,発達障害児への性教育　ヤングケアラー,ありがとうございました。,○,○,,,,,,
17,r_15,直方,放課後等デイサービス,5,5,5,5,5,災害時の児童への支援に関する事例が知りたいです。,日々の業務を振り返ったり、定期的に学んだりすることが大切だと思いました。,○,○,,,,,感情の起伏が激しい児童への対応。ありがとうございました。,
18,r_16,田川,その他（相談支援）,5,4,5,5,5,障害のない大人や子どもに対する関わり方,とても勉強になりました。,,○,○,,,,,
19,r_17,田川,無記入,5,4,5,5,3,,愛着障害に対する考え方が違っていたと思い、勉強になりました。対応については、一層に身につけていきたいと思います。,,,,,,,,
20,r_18,直方,その他（基幹相談支援センター）,5,4,5,5,4,,今まで愛着について深く学ぶ機会が個人的になかったので参考になりました,,,○,,,,不登校の児童・生徒を放デイにつなぐケースが増えていると感じる。教育・療育で本来の目的や役割があるようで判断に迷うことが多い。放デイでの支援が本人のためなのか分からない,
